Country,Circumference,MeanTempWarmestQuart,MeanPrecipWarmestQuart,specialist,generalist
Norway,592,15.8,257,3,15
Norway,680,14.7,455,1,4
Norway,340,14.5,458,1,3
Norway,310,14.5,458,4,5
Norway,260,14.5,458,2,6
Norway,370,14.5,458,0,3
Norway,313,15.2,255,2,7
Norway,235,14.3,459,1,7
Norway,674,13.9,798,1,8
Norway,717,13.9,798,0,3
Norway,798,13.9,798,1,11
Norway,488,13.9,798,1,7
Norway,596,13.9,798,1,6
Norway,573,16,251,2,5
Norway,310,14.9,258,1,2
Norway,150,14.9,258,3,6
Norway,380,14.9,258,1,2
Norway,220,14.9,258,2,2
Norway,280,15,257,2,2
Norway,178,15.2,254,2,3
Norway,275,15.1,254,3,6
Norway,162,15.1,254,2,4
Norway,192,15.1,254,3,11
Norway,280,15.1,254,2,4
Norway,192,15.1,254,3,9
Norway,581,15.2,261,1,7
Norway,195,15.7,249,1,5
Norway,310,14.1,349,1,8
Norway,210,14.1,349,3,12
Norway,180,14.1,349,3,10
Norway,150,14.1,349,0,5
Norway,170,14.1,349,2,11
Norway,185,14.3,459,1,3
Norway,270,14.4,455,2,4
Norway,496,15.9,246,0,2
Norway,133,12.9,439,1,4
Norway,200,13.2,443,1,5
Norway,226.5,15.1,255,1,5
Norway,385,12.8,402,1,9
Norway,240,12.9,433,3,7
Norway,209,14.7,428,1,2
Norway,278,15.6,251,1,9
Norway,660,15.9,248,4,5
Norway,540,15.9,248,6,7
Norway,410,15.9,248,7,3
Norway,495,15.9,248,4,10
Norway,350,15.9,248,0,0
Norway,545,15.8,262,1,6
Norway,545,15.8,262,3,9
Norway,377,15.8,262,3,6
Norway,371,15.8,262,3,6
Norway,290,15.4,266,2,4
Norway,730,15.7,249,3,5
Norway,138,14.3,263,2,7
Norway,235,14.7,260,4,13
Norway,511,14.9,266,2,3
Norway,472,15.1,255,5,22
Norway,161,15.6,249,1,8
Norway,260,16.1,244,1,0
Norway,220,16.1,244,0,5
Norway,285,16.1,244,3,8
Norway,405,16.1,244,4,3
Norway,380,16.1,244,4,3
Norway,420,15.9,253,3,4
Norway,260,15.9,253,1,0
Norway,400,15.9,253,4,8
Norway,210,15.9,253,1,4
Norway,190,15.9,253,3,3
Norway,373,15.8,249,3,6
Norway,102,15.3,254,0,3
Norway,150,15.9,248,4,8
Norway,193,15.9,248,3,3
Norway,345,15.9,248,0,4
Norway,60,15.9,248,1,8
Norway,246,15.9,248,2,5
Norway,310,15.2,254,4,5
Norway,512,15.8,257,3,2
Norway,200,13.5,434,0,5
Norway,365,14.3,263,1,6
Norway,272,14.6,264,0,3
Norway,258,15.1,256,3,11
Norway,154,15.6,251,2,3
Norway,80,14.5,439,0,2
Norway,170,12.5,366,1,6
Norway,260,12.5,366,2,3
Norway,100,12.9,362,1,2
Norway,230,12.9,362,3,3
Norway,230,12.9,362,1,3
Norway,302,14.2,737,1,1
Norway,426,14.2,737,0,6
Norway,411,14.2,737,1,3
Norway,504,14.2,737,1,8
Norway,341,14.2,737,1,6
Norway,136,12.7,431,1,6
Norway,157,13.9,292,0,2
Norway,141,13.2,300,1,4
Norway,251,13.2,300,2,4
Norway,188,13.2,300,2,4
Norway,126,13.2,300,1,5
Norway,260,14.3,263,2,10
Norway,279,15.7,249,0,4
Norway,141,13.3,299,0,7
Norway,251,13.3,299,2,4
Norway,220,13.3,299,2,8
Norway,204,13.3,299,3,6
Norway,397,14.7,451,1,4
Norway,378,15.3,254,2,7
Norway,284,14.5,459,0,6
Norway,289,16.1,251,0,6
Norway,184,13.6,474,3,9
Norway,89,14.3,447,0,3
Norway,168,15.3,254,1,7
Norway,174,15.6,252,1,1
Norway,280,15.2,254,1,7
Norway,370,15.4,252,2,6
Norway,340,15.2,254,3,3
Norway,80,15.6,249,2,5
Norway,160,15.2,254,3,1
Norway,953,15.1,263,2,1
Sweden,420,15.8,189,6,8
Sweden,346,15.8,189,3,4
Sweden,323,15.8,189,5,4
Sweden,383,15.8,189,6,6
Sweden,239,15.7,189,4,6
Sweden,228,15.7,189,6,5
Sweden,236,15.7,189,3,2
Sweden,260,15.7,189,2,4
Sweden,170,15.7,189,2,3
Sweden,167,15.7,189,4,2
Sweden,452,15.6,191,4,4
Sweden,410,15.6,191,8,8
Sweden,337,15.6,191,5,13
Sweden,565,15.6,191,3,7
Sweden,632,15.6,191,2,6
Sweden,370,15.6,189,1,1
Sweden,330,15.6,189,3,4
Sweden,376,15.6,189,3,2
Sweden,346,15.6,189,4,3
Sweden,505,15.6,191,8,9
Sweden,459,15.6,190,4,5
Sweden,274,15.6,190,1,4
Sweden,345,15.6,190,4,5
Sweden,258,15.6,190,2,5
Sweden,303,15.6,190,4,3
Sweden,188,15.6,190,3,4
Sweden,315,15.6,190,3,4
Sweden,375,15.6,190,4,5
Sweden,315,15.6,190,3,8
Sweden,283,15.6,190,0,7
Sweden,430,15.8,187,1,10
Sweden,490,15.8,187,5,4
Sweden,482,15.7,189,1,3
Sweden,328,15.7,189,0,3
Sweden,264,15.7,189,3,6
Sweden,350,15.8,187,3,8
Sweden,264,15.8,187,8,8
Sweden,430,15.8,187,6,10
Sweden,357,15.8,187,3,6
Sweden,307,15.8,187,3,3
Sweden,299,15.8,187,3,6
Sweden,223,15.8,187,1,7
Sweden,321,15.8,187,4,5
Sweden,368,15.8,187,3,8
Sweden,389,15.5,191,4,5
Sweden,397,15.5,191,6,11
Sweden,317,15.5,191,1,4
Sweden,234,15.5,191,2,4
Sweden,365,15.5,191,2,11
Sweden,371,15.5,191,3,7
Sweden,403,15.5,191,2,2
Sweden,387,15.5,191,1,5
Sweden,398,15.5,191,2,9
Sweden,311,15.6,192,4,7
Sweden,420,15.6,192,3,8
Sweden,322,15.6,190,4,5
Sweden,376,15.6,190,4,4
Sweden,547,15.6,190,7,7
Sweden,352,15.6,190,4,8
Sweden,430,15.6,190,2,0
Sweden,418,15.6,191,2,3
Sweden,314,15.6,191,6,6
Sweden,407,15.6,191,2,3
Sweden,450,15.6,191,3,8
Sweden,616,15.6,190,3,5
Sweden,130,15.7,189,1,0
Sweden,165,15.7,189,4,5
Sweden,127,15.7,189,2,1
Sweden,234,15.8,189,1,5
Sweden,155,15.8,189,3,7
Sweden,193,15.7,189,2,4
Sweden,195,15.7,189,3,6
Sweden,196,15.7,189,3,6
Sweden,170,15.8,269,0,8
Sweden,130,15.8,269,0,4
Sweden,158,15.8,269,0,5
Sweden,260,15.8,269,0,3
Sweden,220,15.8,269,1,8
Sweden,113,15.7,267,1,6
Sweden,130,15.7,267,2,5
Sweden,310,15.7,267,2,5
Sweden,280,16,244,6,13
Sweden,480,16,244,7,10
Sweden,290,16,244,4,12
Sweden,320,16,244,3,8
Sweden,150,15.7,271,1,5
Sweden,120,15.7,271,2,17
Sweden,150,15.7,271,0,4
Sweden,120,15.7,271,1,7
Sweden,450,16.1,239,4,10
Sweden,160,16.1,239,1,5
Sweden,120,16.1,239,1,5
Sweden,105,16.1,239,0,3
Sweden,260,16.1,239,3,5
Sweden,375,16.2,252,3,6
Sweden,190,16.2,252,4,9
Sweden,180,16.2,252,1,5
Sweden,300,16.2,252,0,8
Sweden,296,16.1,253,5,14
Sweden,220,16.1,253,2,4
Sweden,287,16.1,253,2,8
Sweden,260,16.1,253,1,11
Sweden,385,16.6,182,5,11
Sweden,435,16.6,182,7,9
Sweden,385,16.6,182,4,14
Sweden,250,16.6,182,7,8
Sweden,471,15.8,195,5,12
Sweden,345,15.8,195,6,16
Sweden,377,15.8,195,5,12
Sweden,565,15.9,194,6,16
Sweden,254,16.8,184,2,9
Sweden,565,16.8,184,3,11
Sweden,480,16.8,184,5,17
Sweden,484,16.8,184,5,19
Sweden,330,16.8,178,3,4
Sweden,475,16.7,179,9,9
Sweden,490,16.8,178,4,11
Sweden,500,16.8,178,9,14
Sweden,314,16.1,194,3,11
Sweden,345,16.1,194,4,12
Sweden,691,16,194,9,11
Sweden,502,16,194,4,11
Sweden,440,15.5,199,5,13
Sweden,283,15.6,197,1,10
Sweden,251,15.6,197,5,8
Sweden,220,15.4,200,5,6
Sweden,345,16,194,6,7
Sweden,314,16,194,2,8
Sweden,377,16,194,4,7
Sweden,377,16.1,194,4,17
Sweden,345,15.9,197,6,9
Sweden,502,15.9,197,10,14
Sweden,283,15.9,197,3,7
Sweden,377,15.9,197,3,7
Sweden,377,15.9,185,2,11
Sweden,440,15.9,185,3,8
Sweden,377,15.9,185,2,7
Sweden,377,15.9,185,8,3
Sweden,314,15.9,195,6,8
Sweden,377,15.9,195,6,11
Sweden,471,15.9,195,5,15
Sweden,628,15.9,195,5,8
Sweden,377,15.7,198,3,8
Sweden,314,15.9,196,4,9
Sweden,314,15.9,196,0,9
Sweden,314,15.9,196,2,7
Sweden,251,15.9,196,1,3
Sweden,283,15.7,182,1,15
Sweden,220,15.7,182,2,9
Sweden,283,15.7,182,1,11
Sweden,220,15.7,182,2,11
Sweden,314,15.9,195,3,5
Sweden,314,15.9,195,5,11
Sweden,251,15.9,195,4,11
Sweden,345,15.9,195,3,5
Sweden,251,16,194,5,13
Sweden,345,16,194,4,16
Sweden,722,16,194,7,17
Sweden,471,15.5,201,6,15
Sweden,502,15.5,201,3,12
Sweden,377,15.5,200,2,11
Sweden,283,15.5,200,3,5
Sweden,377,15.8,197,5,12
Sweden,471,15.8,197,5,7
Sweden,314,15.7,197,3,6
Sweden,471,15.7,197,3,10